weight,age,height,size
59,36.0,167.64,L
65,27.0,175.26,L
50,27.0,160.02,S
53,32.0,165.1,S
63,30.0,170.18,XXXL
77,35.0,172.72,XXXL
64,26.0,165.1,L
65,33.0,165.1,L
63,30.0,167.64,L
54,20.0,167.64,S
55,32.0,154.94,S
55,50.0,165.1,S
65,27.0,172.72,L
47,43.0,157.48,S
86,48.0,172.72,XXXL
65,27.0,170.18,L
65,34.0,170.18,L
52,30.0,170.18,S
58,52.0,162.56,XXXL
78,37.0,175.26,XXXL
61,34.0,172.72,L
49,24.0,167.64,S
64,34.0,162.56,XXXL
63,25.0,167.64,S
50,27.0,170.18,S
77,29.0,172.72,XXXL
58,32.0,165.1,L
65,33.0,165.1,L
81,27.0,165.1,XXXL
58,29.0,162.56,L
72,28.0,162.56,L
68,28.0,167.64,L
58,36.0,165.1,S
79,49.0,167.64,XXXL
56,22.0,157.48,S
59,35.0,175.26,S
53,33.0,162.56,S
113,27.0,167.64,XXXL
88,30.0,162.56,XXXL
74,53.0,157.48,XXXL
104,34.0,154.94,XXXL
58,33.0,162.56,S
61,69.0,154.94,XXXL
54,34.0,160.02,S
65,36.0,167.64,L
70,35.0,167.64,XXXL
63,33.0,167.64,L
70,23.0,147.32,XXXL
79,32.0,170.18,XXXL
49,17.0,167.64,S
95,43.0,172.72,XXXL
72,50.0,170.18,XXXL
54,36.0,170.18,S
99,44.0,172.72,XXXL
81,33.0,185.42,XXXL
56,32.0,162.56,L
55,26.0,170.18,S
65,33.0,167.64,L
58,29.0,162.56,L
72,44.0,175.26,XXXL
65,47.0,170.18,L
80,41.0,170.18,XXXL
63,23.0,162.56,L
81,59.0,162.56,XXXL
83,30.0,162.56,XXXL
54,29.0,157.48,S
95,30.0,160.02,XXXL
61,33.0,165.1,S
74,31.0,157.48,XXXL
70,26.0,154.94,L
72,52.0,170.18,XXXL
62,29.0,162.56,L
59,39.0,160.02,L
90,59.0,162.56,XXXL
72,20.0,167.64,XXXL
65,33.0,167.64,L
56,30.0,172.72,S
65,29.0,172.72,L
65,32.0,172.72,L
77,43.0,172.72,XXXL
53,42.0,167.64,S
54,41.0,162.56,S
66,41.0,170.18,L
52,42.0,165.1,S
53,32.0,170.18,S
58,53.0,160.02,L
56,33.0,170.18,L
65,52.0,152.4,XXXL
58,38.0,167.64,L
58,28.0,157.48,S
79,51.0,162.56,XXXL
54,29.0,165.1,S
54,33.0,154.94,S
72,30.0,177.8,L
58,46.0,167.64,L
56,26.0,165.1,S
61,38.0,154.94,XXXL
64,41.0,162.56,L
56,23.0,175.26,S
61,31.0,175.26,S
65,38.0,160.02,L
50,52.0,160.02,L
53,28.0,152.4,S
52,31.0,157.48,S
95,24.0,175.26,XXXL
58,32.0,160.02,S
73,35.0,167.64,XXXL
74,46.0,167.64,XXXL
90,31.0,165.1,XXXL
70,45.0,157.48,XXXL
53,32.0,165.1,S
58,33.0,160.02,L
50,28.0,165.1,S
77,36.0,167.64,XXXL
65,50.0,172.72,XXXL
65,26.0,172.72,L
78,29.0,167.64,XXXL
58,31.0,157.48,L
68,30.0,170.18,XXXL
70,46.0,165.1,XXXL
65,26.0,175.26,L
54,27.0,157.48,S
55,41.0,157.48,L
112,38.0,175.26,XXXL
54,34.0,165.1,S
58,30.0,170.18,S
79,27.0,177.8,L
56,38.0,170.18,S
49,39.0,157.48,S
69,40.0,175.26,XXXL
