episode,score,reward,steps,epsilon,learning_rate,loss
1,80,-13.834285714285713,44,1.0,0.0001,0.0
2,30,-21.35809523809524,45,1.0,0.0001,0.0
3,37,-19.110476190476188,43,1.0,0.0001,0.0
4,57,-18.443809523809524,49,1.0,0.0001,0.0
5,37,-19.210476190476196,46,1.0,0.0001,0.0
6,70,-16.196190476190477,48,1.0,0.0001,0.0
7,31,-18.31047619047619,43,1.0,0.0001,0.0
8,46,-19.424761904761905,46,1.0,0.0001,0.0
9,66,-15.405714285714284,46,1.0,0.0001,0.0
10,67,-14.905714285714282,50,1.0,0.0001,0.0
11,110,-7.927142857142858,44,1.0,0.0001,0.0
12,39,-15.72,50,1.0,0.0001,0.0
13,25,-22.29142857142857,46,1.0,0.0001,0.0
14,44,-18.177142857142854,47,1.0,0.0001,0.0
15,56,-18.14380952380952,43,1.0,0.0001,0.0
16,59,-18.086666666666662,45,1.0,0.0001,0.0
17,33,-19.41523809523809,46,1.0,0.0001,0.0
18,56,-16.596190476190475,45,1.0,0.0001,0.0
19,36,-17.762857142857143,46,1.0,0.0001,0.0
20,39,-17.51047619047619,45,1.0,0.0001,0.0
21,79,-13.486666666666665,45,1.0,0.0001,0.0
22,61,-17.758095238095237,48,1.0,0.0001,0.0
23,23,-20.796190476190475,40,1.0,0.0001,0.0
24,27,-23.586666666666662,50,1.0,0.0001,0.0
25,52,-21.972380952380952,45,1.0,0.0001,0.0
26,82,-10.191428571428572,44,1.0,0.0001,0.0
27,33,-21.062857142857144,46,1.0,0.0001,0.0
28,41,-18.377142857142857,44,1.0,0.0001,0.0
29,44,-16.86285714285714,46,1.0,0.0001,0.0
30,39,-18.434285714285718,44,1.0,0.0001,0.0
31,38,-17.415238095238095,43,1.0,0.0001,0.0
32,33,-19.70095238095238,49,1.0,0.0001,0.0
33,42,-18.229523809523805,43,1.0,0.0001,0.0
34,46,-16.04380952380952,38,1.0,0.0001,0.0
35,61,-16.305714285714284,51,1.0,0.0001,0.0
36,39,-15.672380952380951,46,1.0,0.0001,0.0
37,53,-15.486666666666665,47,1.0,0.0001,0.0
38,91,-12.14857142857143,44,1.0,0.0001,0.0
39,62,-17.405714285714286,43,1.0,0.0001,0.0
40,71,-14.72,45,1.0,0.0001,0.0
41,57,-18.11523809523809,46,1.0,0.0001,0.0
42,49,-15.743809523809524,52,1.0,0.0001,0.0
43,78,-13.448571428571428,46,1.0,0.0001,0.0
44,41,-16.424761904761905,42,1.0,0.0001,0.0
45,67,-15.277142857142856,49,1.0,0.0001,0.0
46,70,-13.267619047619048,42,1.0,0.0001,0.0
47,54,-16.796190476190475,48,1.0,0.0001,0.0
48,26,-23.59142857142857,41,1.0,0.0001,0.0
49,45,-14.791428571428572,45,1.0,0.0001,0.0
50,28,-22.181904761904764,50,1.0,0.0001,0.0
51,66,-18.834285714285716,44,1.0,0.0001,0.0
52,78,-13.75333333333333,44,1.0,0.0001,0.0
53,39,-17.272380952380953,42,1.0,0.0001,0.0
54,28,-21.75333333333333,48,1.0,0.0001,0.0
55,32,-19.61047619047619,46,1.0,0.0001,0.0
56,36,-20.953333333333333,48,1.0,0.0001,0.0
57,40,-17.072380952380954,46,1.0,0.0001,0.0
58,35,-16.119999999999997,45,1.0,0.0001,0.0
59,70,-16.005714285714284,50,1.0,0.0001,0.0
60,35,-17.862857142857145,45,1.0,0.0001,0.0
61,41,-17.067619047619047,45,1.0,0.0001,0.0
62,66,-13.41047619047619,46,1.0,0.0001,0.0
63,34,-19.55809523809524,44,1.0,0.0001,0.0
64,42,-16.972380952380952,46,1.0,0.0001,0.0
65,48,-14.534285714285712,46,1.0,0.0001,0.0
66,35,-21.143809523809523,45,1.0,0.0001,0.0
67,35,-19.505714285714284,46,1.0,0.0001,0.0
68,41,-18.52,44,1.0,0.0001,0.0
69,78,-13.80095238095238,48,1.0,0.0001,0.0
70,79,-10.343809523809524,46,1.0,0.0001,0.0
71,28,-20.248571428571427,46,1.0,0.0001,0.0
72,28,-21.943809523809524,46,1.0,0.0001,0.0
73,60,-14.31047619047619,47,1.0,0.0001,0.0
74,106,-8.529523809523809,45,1.0,0.0001,0.0
75,46,-16.429523809523808,45,1.0,0.0001,0.0
76,32,-21.205714285714286,48,1.0,0.0001,0.0
77,69,-13.32,48,1.0,0.0001,0.0
78,113,-9.412857142857142,45,1.0,0.0001,0.0
79,24,-20.65333333333333,45,1.0,0.0001,0.0
80,42,-16.68190476190476,51,1.0,0.0001,0.0
81,47,-17.90095238095238,48,1.0,0.0001,0.0
82,68,-15.162857142857142,46,1.0,0.0001,0.0
83,27,-20.348571428571425,48,1.0,0.0001,0.0
84,65,-12.243809523809524,39,1.0,0.0001,0.0
85,66,-15.12,50,1.0,0.0001,0.0
86,48,-17.277142857142856,41,1.0,0.0001,0.0
87,44,-16.624761904761904,47,1.0,0.0001,0.0
88,34,-21.05333333333333,44,1.0,0.0001,0.0
89,34,-17.767619047619046,48,1.0,0.0001,0.0
90,91,-9.029523809523807,46,1.0,0.0001,0.0
91,73,-12.68190476190476,45,1.0,0.0001,0.0
92,22,-22.30095238095238,40,1.0,0.0001,0.0
93,32,-18.205714285714286,39,1.0,0.0001,0.0
94,25,-20.500952380952377,47,1.0,0.0001,0.0
95,28,-20.39619047619048,44,1.0,0.0001,0.0
96,63,-14.122380952380954,44,1.0,0.0001,0.0
97,36,-17.567619047619047,46,1.0,0.0001,0.0
98,36,-19.50095238095238,45,1.0,0.0001,0.0
99,30,-18.16761904761905,47,1.0,0.0001,0.0
100,38,-19.05809523809524,44,1.0,0.0001,0.0
101,83,-11.162857142857144,44,1.0,0.0001,0.0
102,45,-16.66761904761905,48,1.0,0.0001,0.0
103,38,-17.272380952380953,41,1.0,0.0001,0.0
104,32,-21.448571428571427,43,1.0,0.0001,0.0
